term,roi_person_serps,roi_person_books
friendly,6.135372668,40
active,2.587447445,70
shy,2.213981632,70
quiet,1.653782912,40
energetic,1.653782912,20
serious,1.467050006,55
social,1.214960582,34
confident,1.130930774,35
enthusiastic,0.944197868,8
outspoken,0.589405345,6.5
sociable,0.397070452,12
silent,0.346652567,6
talkative,0.339183251,14
aggressive,0.206602887,40
competitive,0.148715686,12
adventurous,0.103899788,55
spirited,-0.039884549,9
reserved,-0.073496473,12
merry,-0.101506409,1.2
timid,-0.105241067,14
spontaneous,-0.122047028,5
communicative,-0.150056964,NA
direct,-0.164995597,NA
straightforward,-0.168730255,NA
dominant,-0.202342178,NA
humorous,-0.217280811,NA
introverted,-0.224750127,NA
passive,-0.250892734,NA
dull,-0.252760063,NA
assertive,-0.25836205,NA
pessimistic,-0.260229379,NA
bold,-0.284504657,NA
carefree,-0.284504657,NA
zealous,-0.290106644,NA
extroverted,-0.303177948,NA
mischievous,-0.310647264,NA
gregarious,-0.316249251,NA
daring,-0.31811658,NA
forceful,-0.31811658,NA
playful,-0.321851238,NA
expressive,-0.325585896,NA
submissive,-0.325585896,NA
unfriendly,-0.329320555,NA
cowardly,-0.331187884,NA
verbal,-0.351728503,NA
restrained,-0.351728503,NA
boisterous,-0.357330491,NA
assured,-0.357330491,NA
meek,-0.35919782,NA
vivacious,-0.364799807,NA
flirtatious,-0.366667136,NA
withdrawn,-0.368534465,NA
flamboyant,-0.374136452,NA
vigorous,-0.376003781,NA
detached,-0.376003781,NA
unsociable,-0.379738439,NA
melancholic,-0.379738439,NA
placid,-0.379738439,NA
opportunistic,-0.379738439,NA
magnetic,-0.381605768,NA
sedate,-0.381605768,NA
bashful,-0.383473097,NA
bland,-0.383473097,NA
inhibited,-0.385340426,NA
sluggish,-0.385340426,NA
aloof,-0.385340426,NA
uninhibited,-0.390942414,NA
unadventurous,-0.392809743,NA
indirect,-0.392809743,NA
rambunctious,-0.394677072,NA
unrestrained,-0.394677072,NA
uncommunicative,-0.396544401,NA
somber,-0.396544401,NA
uncompetitive,-0.396544401,NA
unaggressive,-0.39841173,NA
nonpersistent,-0.39841173,NA
negativistic,-0.399345394,NA
exhibitionistic,-0.399345394,NA
honest,6.695571387,100
reasonable,6.135372668,550
kind,4.454776509,65
warm,4.268043603,24
religious,3.334379071,170
sensitive,1.433438083,110
helpful,1.048768295,24
generous,0.936728551,55
passionate,0.858300731,12
humble,0.781740239,33
jovial,0.757464961,3
optimistic,0.72011838,14
understanding,0.665965837,22
cheerful,0.652894534,16
compassionate,0.634221243,40
loyal,0.527783486,13
sincere,0.484834918,15
rude,0.410141755,80
pleasant,0.402672439,31
thoughtful,0.346652567,50
moral,0.26075543,140
flexible,0.171123635,9
respectful,0.128175066,2.6
peaceful,0.053481904,13
bitter,0.044145258,9
polite,0.032941284,8
greedy,0.014267993,15
considerate,0.008666006,15
stubborn,0.008666006,10
affectionate,0.003064019,8
modest,-0.062292498,14
cruel,-0.067894485,12
cynical,-0.077231131,6
cold,-0.092169763,12
sarcastic,-0.127649016,1.6
tolerant,-0.133251003,NA
conscientious,-0.1780669,NA
tough,-0.191138204,NA
abusive,-0.213546153,NA
gullible,-0.215413482,NA
sympathetic,-0.21914814,NA
sentimental,-0.224750127,NA
charitable,-0.247158076,NA
critical,-0.247158076,NA
insensitive,-0.260229379,NA
trustful,-0.267698695,NA
agreeable,-0.275168012,NA
demanding,-0.277035341,NA
amiable,-0.280769999,NA
deceitful,-0.282637328,NA
intolerant,-0.301310619,NA
unselfish,-0.303177948,NA
inconsiderate,-0.306912606,NA
conceited,-0.314381922,NA
feminine,-0.323718567,NA
courteous,-0.327453225,NA
benevolent,-0.329320555,NA
egotistical,-0.331187884,NA
belligerent,-0.331187884,NA
argumentative,-0.336789871,NA
disrespectful,-0.340524529,NA
cooperative,-0.344259187,NA
accommodating,-0.344259187,NA
boastful,-0.346126516,NA
rebellious,-0.346126516,NA
ruthless,-0.349861174,NA
rough,-0.353595832,NA
unkind,-0.353595832,NA
harsh,-0.362932478,NA
sly,-0.364799807,NA
domineering,-0.366667136,NA
impolite,-0.366667136,NA
callous,-0.368534465,NA
bigoted,-0.370401794,NA
combative,-0.372269123,NA
egocentric,-0.376003781,NA
obliging,-0.37787111,NA
insincere,-0.37787111,NA
genial,-0.379738439,NA
cordial,-0.383473097,NA
unforgiving,-0.383473097,NA
coarse,-0.385340426,NA
mannerly,-0.385340426,NA
uncharitable,-0.385340426,NA
unsympathetic,-0.387207756,NA
uncooperative,-0.387207756,NA
bullheaded,-0.389075085,NA
lenient,-0.392809743,NA
antagonistic,-0.394677072,NA
scornful,-0.394677072,NA
abrupt,-0.396544401,NA
impersonal,-0.396544401,NA
responsible,7.442503013,220
reliable,2.213981632,30
mature,1.840515819,100
wise,1.840515819,180
rational,1.452111373,180
lazy,1.373683553,32
ambitious,0.766801606,23
organized,0.707047076,24
absent-minded,0.645425217,2
practical,0.327979276,35
sophisticated,0.247684126,12
logical,0.158052331,30
dependable,0.027339297,10
precise,-0.004405297,1.5
cautious,-0.131383674,NA
conservative,-0.133251003,NA
immature,-0.144454977,NA
unstable,-0.150056964,NA
careful,-0.155658952,NA
efficient,-0.181801558,NA
disorderly,-0.200474849,NA
careless,-0.222882798,NA
indecisive,-0.224750127,NA
forgetful,-0.243423418,NA
punctual,-0.249025405,NA
self-disciplined,-0.269566024,NA
impulsive,-0.27890267,NA
dignified,-0.288239315,NA
controlled,-0.295708631,NA
industrious,-0.29757596,NA
firm,-0.303177948,NA
alert,-0.306912606,NA
meticulous,-0.310647264,NA
disorganized,-0.329320555,NA
consistent,-0.329320555,NA
decisive,-0.329320555,NA
thrifty,-0.329320555,NA
strict,-0.333055213,NA
unreliable,-0.336789871,NA
purposeful,-0.336789871,NA
reckless,-0.342391858,NA
foolhardy,-0.347993845,NA
steady,-0.353595832,NA
stern,-0.355463161,NA
thorough,-0.35919782,NA
orderly,-0.35919782,NA
negligent,-0.35919782,NA
wishy-washy,-0.362932478,NA
frivolous,-0.362932478,NA
formal,-0.370401794,NA
inefficient,-0.372269123,NA
wasteful,-0.372269123,NA
sloppy,-0.374136452,NA
systematic,-0.381605768,NA
impractical,-0.383473097,NA
prompt,-0.383473097,NA
illogical,-0.383473097,NA
economical,-0.383473097,NA
inconsistent,-0.385340426,NA
scatterbrained,-0.389075085,NA
concise,-0.389075085,NA
unambitious,-0.389075085,NA
undependable,-0.390942414,NA
erratic,-0.390942414,NA
exacting,-0.394677072,NA
aimless,-0.394677072,NA
lax,-0.394677072,NA
haphazard,-0.396544401,NA
perfectionistic,-0.39841173,NA
emotional,4.268043603,26
patient,1.343806287,22
selfish,0.507242866,40
jealous,0.413876413,25
brave,0.234612823,22
impatient,0.068420536,8
easygoing,0.025471968,7.5
relaxed,-0.051088524,12
anxious,-0.066027156,50
courageous,-0.086567776,28
nervous,-0.095904421,25
insecure,-0.09963908,15
moody,-0.150056964,NA
informal,-0.252760063,NA
quarrelsome,-0.290106644,NA
grumpy,-0.291973973,NA
envious,-0.316249251,NA
high-strung,-0.316249251,NA
fearful,-0.31811658,NA
excitable,-0.321851238,NA
restless,-0.325585896,NA
touchy,-0.340524529,NA
bossy,-0.342391858,NA
nosey,-0.342391858,NA
cranky,-0.349861174,NA
irritable,-0.353595832,NA
masculine,-0.357330491,NA
defensive,-0.362932478,NA
possessive,-0.366667136,NA
temperamental,-0.370401794,NA
crabby,-0.370401794,NA
unemotional,-0.37787111,NA
snobbish,-0.379738439,NA
self-pitying,-0.381605768,NA
finicky,-0.387207756,NA
undemanding,-0.392809743,NA
gossipy,-0.394677072,NA
fretful,-0.396544401,NA
unexcitable,-0.39841173,NA
faultfinding,-0.400092326,NA
simple,5.201708135,30
intelligent,3.89457779,180
creative,3.707844883,180
smart,3.147646164,32
independent,1.467050006,100
knowledgeable,0.981544449,80
clever,0.501640879,27
bright,0.116971092,160
complex,-0.069761815,28
intellectual,-0.142587648,NA
deep,-0.194872862,NA
innovative,-0.207944165,NA
analytical,-0.221015469,NA
articulate,-0.239688759,NA
inquisitive,-0.241556088,NA
traditional,-0.277035341,NA
insightful,-0.280769999,NA
imaginative,-0.286371986,NA
intense,-0.291973973,NA
unintelligent,-0.308779935,NA
ingenious,-0.319983909,NA
perceptive,-0.325585896,NA
introspective,-0.342391858,NA
conventional,-0.353595832,NA
shrewd,-0.355463161,NA
contemplative,-0.364799807,NA
philosophical,-0.366667136,NA
inventive,-0.370401794,NA
pompous,-0.372269123,NA
self-critical,-0.374136452,NA
unconventional,-0.376003781,NA
surly,-0.379738439,NA
individualistic,-0.385340426,NA
nonconforming,-0.39841173,NA
uninquisitive,-0.400185693,NA
natural,5.201708135,110
ignorant,0.804148188,40
suspicious,0.798546201,25
selfless,0.615547952,5
curious,0.365325858,20
sexy,0.283163379,2
manipulative,0.167388977,6
dishonest,0.023604639,14
dependent,-0.021211259,120
crafty,-0.067894485,3
artistic,-0.09777175,9
truthful,-0.127649016,16
shallow,-0.153791622,NA
objective,-0.157526281,NA
naive,-0.163128268,NA
proud,-0.168730255,NA
ethical,-0.176199571,NA
candid,-0.187403546,NA
versatile,-0.202342178,NA
cultured,-0.207944165,NA
opinionated,-0.224750127,NA
casual,-0.23782143,NA
vain,-0.23782143,NA
impartial,-0.239688759,NA
enterprising,-0.243423418,NA
adaptable,-0.245290747,NA
skeptical,-0.254627392,NA
witty,-0.25836205,NA
unscrupulous,-0.260229379,NA
cunning,-0.265831366,NA
superstitious,-0.265831366,NA
refined,-0.277035341,NA
sensual,-0.27890267,NA
secretive,-0.280769999,NA
stingy,-0.286371986,NA
principled,-0.293841302,NA
persistent,-0.295708631,NA
vindictive,-0.29757596,NA
uncouth,-0.308779935,NA
worldly,-0.319983909,NA
discreet,-0.321851238,NA
obsessive,-0.321851238,NA
weariless,-0.323718567,NA
unpredictable,-0.323718567,NA
unassuming,-0.329320555,NA
prejudiced,-0.331187884,NA
progressive,-0.331187884,NA
obstinate,-0.331187884,NA
apathetic,-0.334922542,NA
pretentious,-0.336789871,NA
passionless,-0.3386572,NA
autonomous,-0.340524529,NA
thoughtless,-0.344259187,NA
transparent,-0.344259187,NA
self-indulgent,-0.346126516,NA
explosive,-0.347993845,NA
idealistic,-0.349861174,NA
tactful,-0.351728503,NA
devious,-0.353595832,NA
diplomatic,-0.353595832,NA
hypocritical,-0.353595832,NA
rigid,-0.35919782,NA
compulsive,-0.35919782,NA
unsophisticated,-0.35919782,NA
eloquent,-0.362932478,NA
hearty,-0.364799807,NA
inarticulate,-0.364799807,NA
unruly,-0.364799807,NA
altruistic,-0.364799807,NA
earnest,-0.366667136,NA
tenacious,-0.368534465,NA
unobservant,-0.370401794,NA
impetuous,-0.372269123,NA
rash,-0.374136452,NA
lustful,-0.374136452,NA
nonreligious,-0.376003781,NA
wary,-0.376003781,NA
meddlesome,-0.376003781,NA
volatile,-0.376003781,NA
masochistic,-0.376003781,NA
wordy,-0.37787111,NA
extravagant,-0.37787111,NA
unimaginative,-0.379738439,NA
indiscreet,-0.379738439,NA
indulgent,-0.379738439,NA
compliant,-0.381605768,NA
scrupulous,-0.381605768,NA
predictable,-0.381605768,NA
condescending,-0.381605768,NA
docile,-0.383473097,NA
subjective,-0.383473097,NA
smug,-0.385340426,NA
animated,-0.385340426,NA
dogmatic,-0.385340426,NA
demonstrative,-0.387207756,NA
vague,-0.387207756,NA
tactless,-0.387207756,NA
earthy,-0.387207756,NA
underhanded,-0.389075085,NA
deliberate,-0.389075085,NA
lethargic,-0.389075085,NA
self-seeking,-0.389075085,NA
prudish,-0.390942414,NA
humorless,-0.390942414,NA
ungracious,-0.392809743,NA
distrustful,-0.392809743,NA
poised,-0.392809743,NA
intrusive,-0.392809743,NA
emphatic,-0.394677072,NA
moralistic,-0.394677072,NA
nonchalant,-0.394677072,NA
irreverent,-0.394677072,NA
suggestible,-0.394677072,NA
reverent,-0.396544401,NA
foresighted,-0.396544401,NA
unintellectual,-0.396544401,NA
patronizing,-0.396544401,NA
unaffectionate,-0.396544401,NA